"Attr1","Attr2","Attr3","Attr4","Attr5","Attr6","Attr7","Attr8","Attr9","Attr10","Attr11","Attr12","Attr13","Attr14","Attr15","Attr16","Attr17","Attr18","Attr19","Attr20","Attr21","Attr22","Attr23","Attr24","Attr25","Attr26","Attr27","Attr28","Attr29","Attr30","Attr31","Attr32","Attr33","Attr34","Attr35","Attr36","Attr37","Attr38","Attr39","Attr40","Attr41","Attr42","Attr43","Attr44","Attr45","Attr46","Attr47","Attr48","Attr49","Attr50","Attr51","Attr52","Attr53","Attr54","Attr55","Attr56","Attr57","Attr58","Attr59","Attr60","Attr61","Attr62","Attr63","Attr64","class"
0.20055,0.37951,0.39641,2.0472,32.351,0.38825,0.24976,1.3305,1.1389,0.50494,0.24976,0.6598,0.1666,0.24976,497.42,0.73378,2.6349,0.24976,0.14942,43.37,1.2479,0.21402,0.11998,0.47706,0.50494,0.60411,1.4582,1.7615,5.9443,0.11788,0.14942,94.14,3.8772,0.56393,0.21402,1.741,593.27,0.50591,0.12804,0.66295,0.051402,0.12804,114.42,71.05,1.0097,1.5225,49.394,0.1853,0.11085,2.042,0.37854,0.25792,2.2437,2.248,348690,0.12196,0.39718,0.87804,0.001924,8.416,5.1372,82.658,4.4158,7.4277,0
0.20912,0.49988,0.47225,1.9447,14.786,0,0.25834,0.99601,1.6996,0.49788,0.26114,0.5168,0.15835,0.25834,677.96,0.53838,2.0005,0.25834,0.152,87.981,1.4293,0.24806,0.12304,0.270851757072362,0.39542,0.43992,88.444,16.946,3.6884,0.26969,0.152,122.17,2.9876,2.9876,0.20616,1.6996,98.478,0.49788,0.1213,0.086422,0.064371,0.14595,199.49,111.51,0.51045,1.1252,100.13,0.23727,0.13961,1.9447,0.49988,0.33472,17.866,17.866,2304.6,0.1213,0.42002,0.853,0,4.1486,3.2732,107.35,3.4,60.987,0
0.24866,0.69592,0.26713,1.5548,-1.1523,0,0.30906,0.43695,1.309,0.30408,0.31258,0.64184,0.24435,0.30906,794.16,0.45961,1.4369,0.30906,0.2361,73.133,1.4283,0.3026,0.18996,0.360982694823306,0.28932,0.37282,86.011,1.0627,4.3749,0.41929,0.23815,176.93,2.063,1.4274,0.31565,1.309,2.3019,0.51537,0.24114,0.32202,0.07402,0.23117,165.51,92.381,0.94807,1.0101,96.372,0.29181,0.22293,1.0758,0.48152,0.48474,1.2098,2.0504,6332.7,0.24114,0.81774,0.76599,0.69484,4.9909,3.951,134.27,2.7185,5.2078,0
0.081483,0.30734,0.45879,2.4928,51.952,0.14988,0.092704,1.8661,1.0571,0.57353,0.092704,0.30163,0.094257,0.092704,917.01,0.39803,3.2537,0.092704,0.071428,79.788,1.5069,0.1155,0.062782,0.17193,0.57353,0.36152,0.94076,1.9618,4.6511,0.14343,0.071428,91.37,3.9948,0.37581,0.1155,1.3562,1.7856,0.57353,0.088995,0.40139,0.069622,0.088995,180.77,100.98,0.2872,1.5696,84.344,0.085874,0.066165,2.4928,0.30734,0.25033,2.4524,2.4524,20545,0.054015,0.14207,0.94598,0,4.5746,3.6147,86.435,4.2228,5.5497,0
0.18732,0.61323,0.2296,1.4063,-7.3128,0.18732,0.18732,0.6307,1.1559,0.38677,0.18732,0.33147,0.12182,0.18732,1133.2,0.32211,1.6307,0.18732,0.11553,57.045,1.099,0.19832,0.11553,0.18732,0.38677,0.32211,1.4138,1.1184,4.1424,0.27884,0.11553,147.04,2.4823,0.3234,0.19832,1.6278,11.247,0.43489,0.12231,0.29304,0.09668,0.12231,141.62,84.574,0.73919,0.95787,65.936,0.18811,0.11601,1.2959,0.56511,0.40285,1.8839,2.1184,3186.6,0.13485,0.48431,0.86515,0.12444,6.3985,4.3158,127.21,2.8692,7.898,0
0.22822,0.49794,0.35969,1.7502,-47.717,0,0.28139,1.0083,1.9786,0.50206,0.28645,0.58691,0.14812,0.28139,620.14,0.58858,2.0083,0.28139,0.14222,107.26,1.7278,0.28104,0.11535,0.323058798821768,0.4997,0.48181,55.511,2.2359,4.3258,0.23382,0.14449,102.76,3.5519,3.42,0.27566,1.9786,22.312,0.51361,0.13932,0.078634,0.056701,0.14204,147.84,40.578,0.3925,0.53744,124.63,0.26935,0.13613,1.6852,0.47944,0.28154,3.1209,3.1927,7616.8,0.13932,0.45457,0.85891,0.023002,3.4028,8.9949,88.444,4.1269,12.299,0
0.11109,0.64744,0.28971,1.4705,2.5349,0,0.11109,0.54454,1.7348,0.35256,0.12575,0.18041,0.30963,0.11109,439.94,0.82965,1.5445,0.11109,0.064036,57.733,0.56811,0,0.064036,0.170650162686511,0.31469,0.82965,0,3.0648,3.677,0.36088,0.14223,328.73,1.1103,1.056,0.024982,1.7348,96.462,0.35256,0.0144,0.056647,0.050653,0,183.17,125.44,0.40485,1.0249,146.49,-0.42606,-0.2456,1.3985,0.61576,0.90064,3.7297,3.7297,1377.1,0.6059,0.3151,0.40871,0,6.3222,2.9098,129.55,2.8173,18.352,0
0.53232,0.027059,0.70554,53.954,299.58,0,0.6524,35.957,0.65273,0.97294,0.69394,48.966,1.0602,0.6524,14.272,25.575,36.957,0.6524,0.99949,39.978,1.0748,0.67129,0.81553,3.08866541070175,0.9698,21.137,16.158,2.5096,4.2428,-0.67625,1.0003,8.1579,44.742,22.031,0.056612,0.65273,50.43,0.98578,0.08673,47.991,0.001269,1.0284,44.426,4.4485,7.4458,48.588,43.774,0.63166,0.96772,26.567,0.013323,0.02235,3.4607,3.5064,12341,0.08673,0.54713,0.49521,0.013194,9.13,82.05,7.4503,48.991,2.3217,0
0.17415,0.45641,0.13845,1.5766,-35.995,0,0.17415,1.191,1.2402,0.54359,0.19803,0.72527,0.17451,0.17415,769.72,0.4742,2.191,0.17415,0.14041,70.778,1.0044,0.17108,0.14041,0.17415,0.43036,0.4742,7.1645,0.22279,4.645,0.35284,0.14363,80.825,4.5159,2.3758,0.15591,1.2402,0.68287,0.74577,0.12571,0.087205,0.071305,0.13794,105.25,34.469,0.7241,0.57499,80.956,0.12879,0.10385,0.82944,0.24011,0.22144,0.87473,1.2001,6113.8,0.12571,0.32036,0.86439,0.37194,5.1569,10.589,70.665,5.1652,1.9958,0
0.12937,0.50375,0.16701,1.5526,-17.911,0,0.16239,0.98511,2.0947,0.49625,0.18131,0.53731,0.10993,0.16239,798.5,0.45711,1.9851,0.16239,0.077524,41.709,1.1497,0.16337,0.061763,0.25549,0.45316,0.39157,8.6339,0.31465,5.0727,0.23119,0.085539,71.766,5.1256,3.0751,0.55758,2.0947,1.9639,0.6133,0.26619,0.066947,0.072613,0.077992,78.238,36.529,0.5405,0.76059,56.399,0.095489,0.045586,0.93148,0.30223,0.1951,0.93496,1.1555,1.5526,0.26619,0.2607,0.73564,0.23587,8.7511,9.9919,52.663,6.9309,3.9465,0
0.11548,0.73386,-0.48883,0.33389,-233.66,7.6e-05,0.14401,0.36266,1.0835,0.26614,0.16949,0.19623,0.21818,0.14401,1133.1,0.32213,1.3627,0.14401,0.1329,32.536,1.5442,0.16816,0.10658,0.14401,0.21965,0.28326,6.5996,-0.64748,3.9347,0.6567,0.14444,269.38,1.355,1.355,0.089172,1.0835,0.56863,0.26614,0.082298,0.030391,0.093885,0.1552,75.027,42.491,1.1956,0.20227,35.454,0.075766,0.069925,0.33389,0.73386,0.73802,0.35252,0.35252,-4206.2,0.082298,0.43391,0.87627,0,11.218,8.5901,247.21,1.4765,1.4352,0
-0.044381,0.20058,-0.13016,0.35109,-418.35,-0.079773,-0.044327,3.9839,0.97119,0.79908,-0.044327,-0.22099,-0.25062,-0.044327,-1981.8,-0.18418,4.9856,-0.044327,-0.30072,91.695,1.0312,-0.044267,-0.30109,-0.079443,0.79908,-0.18445,-2.9166,-0.14002,3.8111,1.2479,-0.30072,482.37,0.75668,-0.22069,-0.044267,0.15631,441.67,0.79908,-0.30031,0.085981,-0.1788,-0.30031,131.67,39.977,-1.1985,0.16647,89.053,-0.051651,-0.35041,0.35109,0.20058,1.3216,0.85961,0.85961,-842.49,-0.029661,-0.05554,1.0297,0,3.9806,9.1302,496.68,0.73489,0.15857,0
